english_title,bengali_title,bengali_version,english_version
"Prisoner, tell me, who was it that bound you?",বন্দী তোরে কে বেঁধেছে,"""বন্দী, তোরে কে বেঁধেছে এত কঠিন ক'রে।' প্রভু আমায় বেঁধেছে যে বজ্রকঠিন ডোরে। মনে ছিল সবার চেয়ে আমিই হব বড়ো, রাজার কড়ি করেছিলেম নিজের ঘরে জড়ো। ঘুম লাগিতে শুয়েছিলেম প্রভুর শয্যা পেতে, জেগে দেখি বাঁধা আছি আপন ভাণ্ডারেতে। ""বন্দী ওগো, কে গড়েছে বজ্রবাঁধনখানি।' আপনি আমি গড়েছিলেম বহু যতন মানি। ভেবেছিলেম আমার প্রতাপ করবে জগৎ গ্রাস, আমি রব একলা স্বাধীন, সবাই হবে দাস। তাই গড়েছি রজনীদিন লোহার শিকলখানা-- কত আগুন কত আঘাত নাইকো তার ঠিকানা। গড়া যখন শেষ হয়েছে কঠিন সুকঠোর, দেখি আমায় বন্দী করে আমারি এই ডোর।","""Prisoner, tell me, who was it that bound you?""

""It was my master,"" said the prisoner. ""I thought I could outdo
everybody in the world in wealth and power, and I amassed in my own
treasure-house the money due to my king. When sleep overcame me I lay
upon the bed that was for my lord, and on waking up I found I was a
prisoner in my own treasure-house.""

""Prisoner, tell me, who was it that wrought this unbreakable chain?""

""It was I,"" said the prisoner, ""who forged this chain very carefully. I
thought my invincible power would hold the world captive leaving me in
a freedom undisturbed. Thus night and day I worked at the chain with
huge fires and cruel hard strokes. When at last the work was done and
the links were complete and unbreakable, I found that it held me in its
grip."""
By all means they try to hold me secure,সংসারেতে আর যাহারা,"সংসারেতে আর-যাহারা আমায় ভালোবাসে তারা আমায় ধরে রাখে বেঁধে কঠিন পাশে। তোমার প্রেম যে সবার বাড়া তাই তোমারি নূতন ধারা, বাঁধ নাকো, লুকিয়ে থাক' ছেড়েই রাখ দাসে। আর-সকলে, ভুলি পাছে তাই রাখে না একা। দিনের পরে কাটে যে দিন, তোমারি নেই দেখা। তোমায় ডাকি নাই বা ডাকি, যা খুশি তাই নিয়ে থাকি; তোমার খুশি চেয়ে আছে আমার খুশির আশে।","By all means they try to hold me secure who love me in this world. But
it is otherwise with thy love which is greater than theirs, and thou
keepest me free.

Lest I forget them they never venture to leave me alone. But day passes
by after day and thou art not seen.

If I call not thee in my prayers, if I keep not thee in my heart, thy
love for me still waits for my love."
When it was day they came into my house,তারা দিনের বেলা এসেছিল,"তারা দিনের বেলা এসেছিল আমার ঘরে, বলেছিল, একটি পাশে রইব প'ড়ে। বলেছিল, দেবতাসেবায় আমরা হব তোমার সহায় — যা - কিছু পাই প্রসাদ লব পূজার পরে। এমনি করে দরিদ্র ক্ষীণ মলিন বেশে সংকোচেতে একটি কোণে রইল এসে। রাতে দেখি প্রবল হয়ে পশে আমার দেবালয়ে, মলিন হাতে পূজার বলি হরণ করে।","When it was day they came into my house and said, ""We shall only take
the smallest room here.""

They said, ""We shall help you in the worship of your God and humbly
accept only our own share in his grace""; and then they took their seat
in a corner and they sat quiet and meek.

But in the darkness of night I find they break into my sacred shrine,
strong and turbulent, and snatch with unholy greed the offerings from
God’s altar."
Let only that little be left of me,তোমায় আমার প্রভু করে রাখি,"তোমায় আমার প্রভু করে রাখি আমার আমি সেইটুকু থাক্ বাকি। তোমায় আমি হেরি সকল দিশি, সকল দিয়ে তোমার মাঝে মিশি, তোমারে প্রেম জোগাই দিবানিশি, ইচ্ছা আমার সেইটুকু থাক্ বাকি — তোমায় আমার প্রভু করে রাখি। তোমায় আমি কোথাও নাহি ঢাকি কেবল আমার সেইটুকু থাক্ বাকি। তোমার লীলা হবে এ প্রাণ ভরে এ সংসারে রেখেছ তাই ধরে, রইব বাঁধা তোমার বাহুডোরে বাঁধন আমার সেইটুকু থাক্ বাকি — তোমায় আমার প্রভু করে রাখি।","Let only that little be left of me whereby I may name thee my all.

Let only that little be left of my will whereby I may feel thee on
every side, and come to thee in everything, and offer to thee my love
every moment.

Let only that little be left of me whereby I may never hide thee.

Let only that little of my fetters be left whereby I am bound with thy
will, and thy purpose is carried out in my life—and that is the fetter
of thy love."
Where the mind is without fear,চিত্ত যেথা ভয়শুণ্য,"চিত্ত যেথা ভয়শূন্য, উচ্চ যেথা শির, জ্ঞান যেথা মুক্ত, যেথা গৃহের প্রাচীর আপন প্রাঙ্গণতলে দিবসশর্বরী বসুধারে রাখে নাই খন্ড ক্ষুদ্র করি, যেথা বাক্য হৃদয়ের উৎসমুখ হতে উচ্ছ্বসিয়া উঠে, যেথা নির্বারিত স্রোতে দেশে দেশে দিশে দিশে কর্মধারা ধায় অজস্র সহস্রবিধ চরিতার্থতায়-- যেথা তুচ্ছ আচারের মরুবালুরাশি বিচারের স্রোতঃপথ ফেলে নাই গ্রাসি, পৌরুষেরে করে নি শতধা; নিত্য যেথা তুমি সর্ব কর্ম চিন্তা আনন্দের নেতা-- নিজ হস্তে নির্দয় আঘাত করি, পিতঃ, ভারতেরে সেই স্বর্গে করো জাগরিত।","Where the mind is without fear and the head is held high;

Where knowledge is free;

Where the world has not been broken up into fragments by narrow
domestic walls;

Where words come out from the depth of truth;

Where tireless striving stretches its arms towards perfection;

Where the clear stream of reason has not lost its way into the dreary
desert sand of dead habit;

Where the mind is led forward by thee into ever-widening thought and
action—

Into that heaven of freedom, my Father, let my country awake."
"This is my prayer to thee, my lord",তব কাছে এই মোর শেষ নিবেদন,"তব কাছে এই মোর শেষ নিবেদন — সকল ক্ষীণতা মম করহ ছেদন দৃঢ়বলে, অন্তরের অন্তর হইতে প্রভু মোর। বীর্য দেহো সুখের সহিতে, সুখেরে কঠিন করি। বীর্য দেহো দুখে, যাহে দুঃখ আপনারে শান্তস্মিত মুখে পারে উপেক্ষিতে। ভকতিরে। বীর্য দেহো কর্মে যাহে হয় সে সফল, প্রীতি স্নেহ পুণ্যে ওঠে ফুটি। বীর্য দেহো ক্ষুদ্র জনে না করিতে হীনজ্ঞান, বলের চরণে না লুটিতে। বীর্য দেহো চিত্তেরে একাকী প্রত্যহের তুচ্ছতার ঊর্ধ্বে দিতে রাখি। বীর্য দেহো তোমার চরণে পাতি শির অহর্নিশি আপনারে রাখিবারে স্থির।","This is my prayer to thee, my lord—strike, strike at the root of penury
in my heart.

Give me the strength lightly to bear my joys and sorrows.

Give me the strength to make my love fruitful in service.

Give me the strength never to disown the poor or bend my knees before
insolent might.

Give me the strength to raise my mind high above daily trifles.

And give me the strength to surrender my strength to thy will with
love."
I thought that my voyage had come to its end,ভেবেছিনু মনে যা হবার তারি শেষে,"ভেবেছিনু মনে যা হবার তারি শেষে যাত্রা আমার বুঝি থেমে গেছে এসে। নাই বুঝি পথ, নাই বুঝি আর কাজ, পাথেয় যা ছিল ফুরায়েছে বুঝি আজ, যেতে হবে সরে নীরব অন্তরালে জীর্ণ জীবনে ছিন্ন মলিন বেশে। কী নিরখি আজি, এ কী অফুরান লীলা, এ কী নবীনতা বহে অন্তঃশীলা। পুরাতন ভাষা মরে এল যবে মুখে, নবগান হয়ে গুমরি উঠিল বুকে, পুরাতন পথ শেষ হয়ে গেল যেথা সেথায় আমারে আনিলে নূতন দেশে।","I thought that my voyage had come to its end at the last limit of my
power,—that the path before me was closed, that provisions were
exhausted and the time come to take shelter in a silent obscurity.

But I find that thy will knows no end in me. And when old words die out
on the tongue, new melodies break forth from the heart; and where the
old tracks are lost, new country is revealed with its wonders."
"That I want thee, only thee",চাই গো আমি তোমারে চাই,"চাই গো আমি তোমারে চাই তোমায় আমি চাই — এই কথাটি সদাই মনে বলতে যেন পাই। আর যা-কিছু বাসনাতে ঘুরে বেড়াই দিনে রাতে মিথ্যা সে-সব মিথ্যা ওগো তোমায় আমি চাই। রাত্রি যেমন লুকিয়ে রাখে আলোর প্রার্থনাই — তেমনি গভীর মোহের মাঝে তোমায় আমি চাই। শান্তিরে ঝড় যখন হানে শান্তি তবু চায় সে প্রাণে, তেমনি তোমায় আঘাত করি তবু তোমায় চাই।","That I want thee, only thee—let my heart repeat without end. All
desires that distract me, day and night, are false and empty to the
core.

As the night keeps hidden in its gloom the petition for light, even
thus in the depth of my unconsciousness rings the cry—I want thee, only
thee.

As the storm still seeks its end in peace when it strikes against peace
with all its might, even thus my rebellion strikes against thy love and
still its cry is—I want thee, only thee."
When the heart is hard and parched up,জীবন যখন শুকায়ে যায়,"জীবন যখন শুকায়ে যায় করুণাধারায় এসো। সকল মাধুরী লুকায়ে যায়, গীতসুধারসে এসো। কর্ম যখন প্রবল-আকার গরজি উঠিয়া ঢাকে চারি ধার, হৃদয়প্রান্তে হে নীরব নাথ, শান্তচরণে এসো। আপনারে যবে করিয়া কৃপণ কোণে পড়ে থাকে দীনহীন মন, দুয়ার খুলিয়া হে উদার নাথ, রাজ-সমারোহে এসো। বাসনা যখন বিপুল ধুলায় অন্ধ করিয়া অবোধে ভুলায় ওহে পবিত্র, ওহে অনিদ্র, রুদ্র আলোকে এসো।","When the heart is hard and parched up, come upon me with a shower of
mercy.

When grace is lost from life, come with a burst of song.

When tumultuous work raises its din on all sides shutting me out from
beyond, come to me, my lord of silence, with thy peace and rest.

When my beggarly heart sits crouched, shut up in a corner, break open
the door, my king, and come with the ceremony of a king.

When desire blinds the mind with delusion and dust, O thou holy one,
thou wakeful, come with thy light and thy thunder."
The rain has held back for days and days,"দীর্ঘকাল, অনাবৃষ্টি, অতি দীর্ঘকাল,","দীর্ঘকাল অনাবৃষ্টি, অতি দীর্ঘকাল, হে ইন্দ্র, হৃদয়ে মম। দিক্‌চক্রবাল ভয়ংকার শূন্য হেরি, নাই কোনোখানে সরস সজল রেখা-- কেহ নাহি আনে নববারিবর্ষনের শ্যামল সংবাদ। যদি ইচ্ছা হয়, দেব, আনো বজ্রনাদ প্রলয়মুখর হিংস্র ঝটিকার সাথে। পলে পলে বিদ্যুতের বক্র কশাঘাতে সচকিত করো মোর দিগ্‌দিগন্তর। সংহরো সংহরো, প্রভো, নিস্তব্ধ প্রখর এই রুদ্র, এই ব্যাপ্ত, এ নিঃশব্দ দাহ নিঃসহ নৈরাশ্যতাপ। চাহো নাথ, চাহো জননী যেমন চাহে সজল নয়ানে পিতার ক্রোধের দিনে সন্তানের পানে।","The rain has held back for days and days, my God, in my arid heart. The
horizon is fiercely naked—not the thinnest cover of a soft cloud, not
the vaguest hint of a distant cool shower.

Send thy angry storm, dark with death, if it is thy wish, and with
lashes of lightning startle the sky from end to end.

But call back, my lord, call back this pervading silent heat, still and
keen and cruel, burning the heart with dire despair.

Let the cloud of grace bend low from above like the tearful look of the
mother on the day of the father’s wrath."
Where dost thou stand behind them all,কোথা ছায়ার কোনে দাঁড়িয়ে তুমি কিসের প্রতীক্ষায়,"কোথা ছায়ার কোণে দাঁড়িয়ে তুমি কিসের প্রতীক্ষায় কেন আছ সবার পিছে। যারা ধুলা-পায়ে ধায় গো পথে, তোমায় ঠেলে যায়, তারা তোমায় ভাবে মিছে। আমি তোমার লাগি কুসুম তুলি, বসি তরুর মূলে, আমি সাজিয়ে রাখি ডালি-- ওগো, যে আসে সেই একটি-দুটি নিয়ে যে যায় তুলে, আমার সাজি হয় যে খালি। ওগো, সকাল গেল, বিকাল গেল, সন্ধ্যা হয়ে আসে, চোখে লাগছে ঘুমঘোর। সবাই ঘরের পানে যাবার বেলা আমায় দেখে হাসে, মনে লজ্জা লাগে মোর। আমি বসে আছি বসনখানি টেনে মুখের 'পরে যেন ভিখারিনীর মতো-- কেহ শুধায় যদি 'কী চাও তুমি' থাকি নিরুত্তরে করি দুটি নয়ন নত। আজি কোন্‌ লাজে বা বলব আমি 'তোমায় শুধু চাহি', আমি বলব কেমন করে-- শুধু তোমারি পথ চেয়ে আমি রজনী দিন বাহি, তুমি আসবে আমার তরে। আমার দৈন্যখানি যত্নে রাখি, রাজৈশ্বর্যে তব তারে দিব বিসর্জন-- ওগো, অভাগিনীর এ অভিমান কাহার কাছে কব, তাহা রইল সংগোপন। আমি সুদূর-পানে চেয়ে চেয়ে ভাবি আপন-মনে হেথা তৃণে আসন মেলে-- তুমি হঠাৎ কখন আসবে হেথায় বিপুল আয়োজনে তোমার সকল আলো জ্বেলে। তোমার রথের 'পরে সোনার ধ্বজা ঝলবে ঝলমল, সাথে বাজবে বাঁশির তান-- তোমার প্রতাপ-ভরে বসুন্ধরা করবে টলমল, আমার উঠবে নেচে প্রাণ। তখন পথের লোকে অবাক হয়ে সবাই চেয়ে রবে, তুমি নেমে আসবে পথে; হেসে দু হাত ধরে ধুলা হতে আমায় তুলে লবে-- তুমি লবে তোমার রথে। আমার ভূষণবিহীন মলিন বেশে ভিখারিনীর সাজে তোমার দাঁড়াব বাম পাশে, তখন লতার মতো কাঁপব আমি গর্বে সুখে লাজে সকল বিশ্বের সকাশে। ওগো, সময় বয়ে যাচ্ছে চলে, রয়েছি কান পেতে-- কোথা কই গো চাকার ধ্বনি। তোমার এ পথ দিয়ে কত-না লোক গর্বে গেল মেতে কতই জাগিয়ে রনরনি। তবে তুমিই কি গো নীরব হয়ে রবে ছায়ার তলে, তুমি রবে সবার শেষে-- হেথায় ভিখারিনীর লজ্জা কি গো ঝরবে নয়নজলে। তারে রাখবে মলিন বেশে?","Where dost thou stand behind them all, my lover, hiding thyself in the
shadows? They push thee and pass thee by on the dusty road, taking thee
for naught. I wait here weary hours spreading my offerings for thee,
while passers-by come and take my flowers, one by one, and my basket is
nearly empty.

The morning time is past, and the noon. In the shade of evening my eyes
are drowsy with sleep. Men going home glance at me and smile and fill
me with shame. I sit like a beggar maid, drawing my skirt over my face,
and when they ask me, what it is I want, I drop my eyes and answer them
not.

Oh, how, indeed, could I tell them that for thee I wait, and that thou
hast promised to come. How could I utter for shame that I keep for my
dowry this poverty. Ah, I hug this pride in the secret of my heart.

I sit on the grass and gaze upon the sky and dream of the sudden
splendour of thy coming—all the lights ablaze, golden pennons flying
over thy car, and they at the roadside standing agape, when they see
thee come down from thy seat to raise me from the dust, and set at thy
side this ragged beggar girl a-tremble with shame and pride, like a
creeper in a summer breeze.

But time glides on and still no sound of the wheels of thy chariot.
Many a procession passes by with noise and shouts and glamour of glory.
Is it only thou who wouldst stand in the shadow silent and behind them
all? And only I who would wait and weep and wear out my heart in vain
longing?"
Early in the day it was whispered that,কথা ছিল এক-তরীতে কেবল তুমি আমি,"কথা ছিল এক-তরীতে কেবল তুমি আমি যাব অকারণে ভেসে কেবল ভেসে, ত্রিভুবনে জানবে না কেউ আমরা তীর্থগামী কোথায় যেতেছি কোন্ দেশে সে কোন্ দেশে। কূলহারা সেই সমুদ্র-মাঝখানে শোনাব গান একলা তোমার কানে, ঢেউয়ের মতন ভাষা-বাঁধন-হারা আমার সেই রাগিণী শুনবে নীরব হেসে। আজো সময় হয় নি কি তার, কাজ কি আছে বাকি। ওগো ওই-যে সন্ধ্যা নামে সাগরতীরে। মলিন আলোয় পাখা মেলে সিন্ধুপারের পাখি আপন কুলায়-মাঝে সবাই এল ফিরে। কখন তুমি আসবে ঘাটের'পরে বাঁধনটুকু কেটে দেবার তরে। অস্তরবির শেষ আলোটির মতো তরী নিশীথমাঝে যাবে নিরুদ্দেশে।","Early in the day it was whispered that we should sail in a boat, only
thou and I, and never a soul in the world would know of this our
pilgrimage to no country and to no end.

In that shoreless ocean, at thy silently listening smile my songs would
swell in melodies, free as waves, free from all bondage of words.

Is the time not come yet? Are there works still to do? Lo, the evening
has come down upon the shore and in the fading light the seabirds come
flying to their nests.

Who knows when the chains will be off, and the boat, like the last
glimmer of sunset, vanish into the night?"
The day was when I did not keep myself,"তখন করি নি নাথ, কোন আয়োজন","তখন করি নি, নাথ, কোনো আয়োজন; বিশ্বের সবার সাথে, হে বিশ্বরাজন‌, অজ্ঞাতে আসিতে হাসি আমার অন্তরে কত শুভদিনে; কত মুহূর্তের 'পরে অসীমের চিহ্ন লিখে গেছ! লই তুলি তোমার স্বাক্ষর-আঁকা সেই ক্ষণগুলি-- দেখি তারা স্মৃতি-মাঝে আছিল ছড়ায়ে কত-না ধূলির সাথে,আছিল জড়ায়ে ক্ষণিকের কত তুচ্ছ সুখদুঃখ ঘিরে! হে নাথ, অবজ্ঞা করি যাও নাই ফিরে আমার সে ধুলাস্তূপ খেলাঘর দেখে! খেলা-মাঝে শুনিতে পেয়েছি থেকে থেকে যে চরণধ্বনি--আজ শুনি তাই বাজে জগৎসংগীত-সাথে চন্দ্রসূর্য-মাঝে।","The day was when I did not keep myself in readiness for thee; and
entering my heart unbidden even as one of the common crowd, unknown to
me, my king, thou didst press the signet of eternity upon many a
fleeting moment of my life.

And today when by chance I light upon them and see thy signature, I
find they have lain scattered in the dust mixed with the memory of joys
and sorrows of my trivial days forgotten.

Thou didst not turn in contempt from my childish play among dust, and
the steps that I heard in my playroom are the same that are echoing
from star to star."
"This is my delight, thus to wait and watch",আমার এই পথ চাওয়াতেই আনন্দ,"আমার এই পথ-চাওয়াতেই আনন্দ। খেলে যায় রৌদ্র ছায়া, বর্ষা আসে বসন্ত ॥ কারা এই সমুখ দিয়ে আসে যায় খবর নিয়ে, খুশি রই আপন মনে-- বাতাস বহে সুমন্দ ॥ সারাদিন আঁখি মেলে দুয়ারে রব একা, শুভখন হঠাৎ এলে তখনি পাব দেখা। ততখন ক্ষণে ক্ষণে হাসি গাই আপন-মনে, ততখন রহি রহি ভেসে আসে সুগন্ধ ॥","This is my delight, thus to wait and watch at the wayside where shadow
chases light and the rain comes in the wake of the summer.

Messengers, with tidings from unknown skies, greet me and speed along
the road. My heart is glad within, and the breath of the passing breeze
is sweet.

From dawn till dusk I sit here before my door, and I know that of a
sudden the happy moment will arrive when I shall see.

In the meanwhile I smile and I sing all alone. In the meanwhile the air
is filling with the perfume of promise."
Have you not heard his silent steps?,তোরা শুনিস নি কি শুনিস নি তার,"তোরা শুনিস নি কি শুনিস নি তার পায়ের ধ্বনি, ওই যে আসে, আসে, আসে। যুগে যুগে পলে পলে দিনরজনী সে যে আসে , আসে, আসে। গেয়েছি গান যখন যত আপন-মনে খ্যাপার মতো সকল সুরে বেজেছে তার আগমনী — সে যে আসে, আসে , আসে। কত কালের ফাগুন-দিনে বনের পথে সে যে আসে , আসে, আসে। কত শ্রাবণ - অন্ধকারে মেঘের রথে সে যে আসে, আসে, আসে। দুখের পরে পরম দুখে তারি চরণ বাজে বুকে, সুখে কখন্ বুলিয়ে সে দেয় পরশমণি। সে যে আসে, আসে, আসে।","Have you not heard his silent steps? He comes, comes, ever comes.

Every moment and every age, every day and every night he comes, comes,
ever comes.

Many a song have I sung in many a mood of mind, but all their notes
have always proclaimed, ""He comes, comes, ever comes.""

In the fragrant days of sunny April through the forest path he comes,
comes, ever comes.

In the rainy gloom of July nights on the thundering chariot of clouds
he comes, comes, ever comes.

In sorrow after sorrow it is his steps that press upon my heart, and it
is the golden touch of his feet that makes my joy to shine."
I know not from what distant time thou,আমার মিলন লাগি তুমি,"আমার মিলন লাগি তুমি আসছ কবে থেকে। তোমার চন্দ্র সূর্য তোমায় রাখবে কোথায় ঢেকে। কত কালের সকাল-সাঁঝে তোমার চরণধনি বাজে, গোপনে দূত হৃদয়মাঝে গেছে আমায় ডেকে। ওগো পথিক, আজকে আমার সকল পরান ব্যেপে থেকে থেকে হরষ যেন উঠছে কেঁপে কেঁপে। যেন সময় এসেছে আজ, ফুরালো মোর যা ছিল কাজ — বাতাস আসে হে মহারাজ, তোমার গন্ধ মেখে।","I know not from what distant time thou art ever coming nearer to meet
me. Thy sun and stars can never keep thee hidden from me for aye.

In many a morning and eve thy footsteps have been heard and thy
messenger has come within my heart and called me in secret.

I know not only why today my life is all astir, and a feeling of
tremulous joy is passing through my heart.

It is as if the time were come to wind up my work, and I feel in the
air a faint smell of thy sweet presence."
The night is nearly spent waiting for him in vain,পথ চেয়ে ত কাটল নিশি,"পথ চেয়ে তো কাটল নিশি, লাগছে মনে ভয়-- সকালবেলা ঘুমিয়ে পড়ি যদি এমন হয়। যদি তখন হঠাৎ এসে দাঁড়ায় আমার দুয়ার-দেশে। বনচ্ছায়ায় ঘেরা এ ঘর আছে তো তার জানা-- ওগো, তোরা পথ ছেড়ে দিস, করিস নে কেউ মানা। যদি-বা তার পায়ের শব্দে ঘুম না ভাঙে মোর, শপথ আমার, তোরা কেহ ভাঙাস নে সে ঘোর। চাই নে জাগতে পাখির রবে নতুন আলোর মহোৎসবে, চাই নে জাগতে হাওয়ায় আকুল বকুল ফুলের বাসে-- তোরা আমায় ঘুমোতে দিস যদিই-বা সে আসে। ওগো, আমার ঘুম যে ভালো গভীর অচেতনে-- যদি আমায় জাগায় তারি আপন পরশনে। ঘুমের আবেশ যেমনি টুটি দেখব তারি নয়নদুটি মুখে আমার তারি হাসি পড়বে সকৌতুকে-- সে যেন মোর সুখের স্বপন দাঁড়াবে সম্মুখে। সে আসবে মোর চোখের 'পরে সকল আলোর আগে, তাহারি রূপ মোর প্রভাতের প্রথম হয়ে জাগে। প্রথম চমক লাগবে সুখে চেয়ে তারি করুণ মুখে, চিত্ত আমার উঠবে কেঁপে তার চেতনায় ভ'রে-- তোরা আমায় জাগাস নে কেউ, জাগাবে সেই মোরে।","The night is nearly spent waiting for him in vain. I fear lest in the
morning he suddenly come to my door when I have fallen asleep wearied
out. Oh friends, leave the way open to him— forbid him not.

If the sounds of his steps does not wake me, do not try to rouse me, I
pray. I wish not to be called from my sleep by the clamorous choir of
birds, by the riot of wind at the festival of morning light. Let me
sleep undisturbed even if my lord comes of a sudden to my door.

Ah, my sleep, precious sleep, which only waits for his touch to vanish.
Ah, my closed eyes that would open their lids only to the light of his
smile when he stands before me like a dream emerging from darkness of
sleep.

Let him appear before my sight as the first of all lights and all
forms. The first thrill of joy to my awakened soul let it come from his
glance. And let my return to myself be immediate return to him."
The morning sea of silence broke into ripples,তখন আকাশ তলে ঢেউ তুলেছে,"তখন আকাশতলে ঢেউ তুলেছে পাখিরা গান গেয়ে। তখন পথের দুটি ধারে ফুল ফুটেছে ভারে ভারে, মেঘের কোণে রঙ ধরেছে দেখি নি কেউ চেয়ে। মোরা আপন মনে ব্যস্ত হয়ে চলেছিলেম ধেয়ে। মোরা সুখের বশে গাই নি তো গান, করি নি কেউ খেলা। চাই নি ভুলে ডাহিন-বাঁয়ে, হাটের লাগি যাই নি গাঁয়ে, হাসি নি কেউ, কই নি কথা, করি নি কেউ হেলা। মোরা ততই বেগে চলেছিলেম যতই বাড়ে বেলা। শেষে সূর্য যখন মাঝ-আকাশে, কপোত ডাকে বনে-- তপ্ত হাওয়ায় ঘুরে ঘুরে শুকনো পাতা বেড়ায় উড়ে, বটের তলে রাখালশিশু ঘুমায় অচেতনে, আমি জলের ধারে শুলেম এসে শ্যামল তৃণাসনে। আমার দলের সবাই আমার পানে চেয়ে গেল হেসে। চলে গেল উচ্চশিরে, চাইল না কেউ পিছু ফিরে, মিলিয়ে গেল সুদূর ছায়ায় পথতরুর শেষে। তারা পেরিয়ে গেল কত যে মাঠ, কত দূরের দেশে! ওগো ধন্য তোমরা দুখের যাত্রী, ধন্য তোমরা সবে। লাজের ঘায়ে উঠিতে চাই, মনের মাঝে সাড়া না পাই, মগ্ন হলেম আনন্দময় অগাধ অগৌরবে-- পাখির গানে, বাঁশির তানে, কম্পিত পল্লবে। আমি মুগ্ধতনু দিলেম মেলে বসুন্ধরার কোলে। বাঁশের ছায়া কী কৌতুকে নাচে আমার চক্ষে মুখে, আমের মুকূল গন্ধে আমায় বিধুর ক'রে তোলে-- নয়ন মুদে আসে মৌমাছিদের গুঞ্জনকল্লোলে। সেই রৌদ্রে-ঘেরা সবুজ আরাম মিলিয়ে এল প্রাণে। ভুলে গেলেম কিসের তরে বাহির হলেম পথের 'পরে, ঢেলে দিলেম চেতনা মোর ছায়ায় গন্ধে গানে-- ধীরে ঘুমিয়ে প'লেম অবশ দেহে কখন কে তা জানে। শেষে গভীর ঘুমের মধ্য হতে ফুটল যখন আঁখি, চেয়ে দেখি, কখন এসে দাঁড়িয়ে আছ শিয়রদেশে তোমার হাসি দিয়ে আমার অচৈতন্য ঢাকি-- ওগো, ভেবেছিলেম আছে আমার কত-না পথ বাকি। মোরা ভেবেছিলেম পরানপণে সজাগ রব সবে-- সন্ধ্যা হবার আগে যদি পার হতে না পারি নদী, ভেবেছিলেম তাহা হলেই সকল ব্যর্থ হবে। যখন আমি থেমে গেলেম, তুমি আপনি এলে কবে।","The morning sea of silence broke into ripples of bird songs; and the
flowers were all merry by the roadside; and the wealth of gold was
scattered through the rift of the clouds while we busily went on our
way and paid no heed.

We sang no glad songs nor played; we went not to the village for
barter; we spoke not a word nor smiled; we lingered not on the way. We
quickened our pace more and more as the time sped by.

The sun rose to the mid sky and doves cooed in the shade. Withered
leaves danced and whirled in the hot air of noon. The shepherd boy
drowsed and dreamed in the shadow of the banyan tree, and I laid myself
down by the water and stretched my tired limbs on the grass.

My companions laughed at me in scorn; they held their heads high and
hurried on; they never looked back nor rested; they vanished in the
distant blue haze. They crossed many meadows and hills, and passed
through strange, far-away countries. All honour to you, heroic host of
the interminable path! Mockery and reproach pricked me to rise, but
found no response in me. I gave myself up for lost in the depth of a
glad humiliation—in the shadow of a dim delight.

The repose of the sun-embroidered green gloom slowly spread over my
heart. I forgot for what I had travelled, and I surrendered my mind
without struggle to the maze of shadows and songs.

At last, when I woke from my slumber and opened my eyes, I saw thee
standing by me, flooding my sleep with thy smile. How I had feared that
the path was long and wearisome, and the struggle to reach thee was
hard!"
You came down from your throne,তব সিংহাসনের আসন হতে,"তব সিংহাসনের আসন হতে এলে তুমি নেমে, মোর বিজন ঘরের দ্বারের কাছে দাঁড়ালে নাথ থেমে। একলা বসে আপন-মনে গাইতেছিলেম গান, তোমার কানে গেল সে সুর এলে তুমি নেমে, মোর বিজন ঘরের দ্বারের কাছে দাঁড়ালে নাথ থেমে। তোমার সভায় কত-না গান কতই আছেন গুণী ; গুণহীনের গানখানি আজ বাজল তোমার প্রেমে। লাগল বিশ্বতানের মাঝে একটি করুণ সুর, হাতে লয়ে বরণমালা এলে তুমি নেমে, মোর বিজন ঘরের দ্বারের কাছে দাঁড়ালে নাথ থেমে।","You came down from your throne and stood at my cottage door.

I was singing all alone in a corner, and the melody caught your ear.
You came down and stood at my cottage door.

Masters are many in your hall, and songs are sung there at all hours.
But the simple carol of this novice struck at your love. One plaintive
little strain mingled with the great music of the world, and with a
flower for a prize you came down and stopped at my cottage door."
